feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae..g__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	k__Bacteria.__.__.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria.g__Lardizabala	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Epulopiscium	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Pseudoramibacter_Eubacterium	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__rc4.4	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__.g__	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Candidatus.Arthromitus	k__Bacteria.p__Firmicutes.__.__.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae.g__Streptomyces	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae.g__Brevibacterium	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Plesiomonas	Unassigned.__.__.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Intrasporangiaceae.g__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae.g__Brachybacterium	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae.g__Stenotrophomonas	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Jeotgalicoccus	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__	k__Bacteria.p__Bacteroidetes.__.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__.__	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Adlercreutzia	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae.g__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Acidaminococcus	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Nocardiopsaceae.g__Prauseria	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.__.__.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae.__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.__	k__Bacteria.p__Firmicutes.c__Bacilli.__.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Gallibacterium	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae.g__Methylobacterium	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Megamonas	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.__
HEB24007	149831	4030	1612	450	778	803	160320	691	340	565	9996	285	42308	197	82	55	220	93	425	3324	2576	1256	95	4509	2651	109	118	3366	104	62	309	5795	2304	30	27	116	19	658	53	1442	24	0	11	9	14	0	15	0	0	5	5	0	5	0	6	8	0	57	431	0	2	3	22	3	9	5	2	0	0	36	0	0	0	0	0	0	0	0	0	2	0	0	0	0
HEB24008	195250	171921	1848	474	652	1069	73116	314	231	824	6514	335	15765	171	75	52	247	79	346	1000	3370	870	96	1311	171	84	127	1806	141	55	257	2823	2543	26	26	99	18	988	25	2821	16	0	8	6	20	7	0	0	4	0	0	0	3	0	0	0	0	34	167	0	0	3	70	4	0	0	2	0	0	26	0	5	0	0	0	0	0	4	0	0	0	0	0	0
HEB24017	91544	187772	2779	731	993	1454	165804	455	405	11056	8345	495	38649	235	96	66	290	107	469	2243	2302	1079	85	2627	1909	218	223	2736	176	49	69	4214	3116	46	31	526	27	669	71	2987	37	20	11	15	14	11	12	10	0	6	0	0	4	0	6	0	0	40	434	0	0	5	68	0	4	12	2	4	0	28	2	0	0	0	0	7	2	0	0	0	0	0	0	119
HEB24040	97055	648857	5403	1518	1806	3444	14790	1194	972	16833	35413	985	223127	478	206	145	652	283	568	10294	21537	3615	179	12307	473	475	474	8113	346	90	176	31988	5148	87	33	523	56	1060	114	4162	57	45	33	28	47	30	18	19	7	17	18	9	5	0	16	0	0	285	774	0	7	9	190	12	6	16	4	5	0	116	4	12	0	0	2	0	0	0	3	0	2	0	0	100
HEB24042	278333	19312	2178	668	806	1061	41817	1349	406	2631	20999	426	117099	224	126	73	349	117	824	9661	4005	2707	136	11273	2425	106	176	6203	148	82	571	15266	2472	40	25	253	14	726	53	3983	24	12	15	7	22	13	12	7	3	4	0	0	0	0	12	0	4	75	411	7	5	6	22	0	9	0	0	0	0	43	0	0	7	0	0	0	0	0	0	0	0	3	0	0
HEB24058	151142	42584	2507	672	1038	1268	132030	507	352	81349	9557	428	52267	234	113	60	350	137	761	3888	4939	2737	140	5360	1659	5496	185	3767	171	66	265	4595	9243	57	24	426	28	3037	93	3830	24	20	16	10	24	11	7	7	6	6	11	0	3	0	0	3	0	64	479	0	7	7	25	0	0	0	0	0	0	22	0	4	0	0	3	0	0	7	0	0	0	0	2	0
HEB24088	151740	110846	1926	543	782	986	28445	575	353	15309	8482	362	57567	178	86	33	239	96	451	2670	9417	1505	68	3118	2811	634	187	4453	133	49	60	8053	3859	45	16	1060	15	934	66	3364	30	0	15	8	15	12	6	15	0	0	9	0	0	6	0	0	0	115	271	0	4	0	30	0	0	0	4	0	5	41	0	0	0	0	0	0	0	0	0	0	0	2	0	0
HEB24090	94473	285988	1955	573	723	1320	13198	14390	372	2567	8847	400	52288	165	65	60	228	115	375	1650	7176	825	69	2245	133	102	162	2574	140	30	60	4954	1362	33	18	160	27	558	82	1790	22	15	13	9	9	11	5	8	8	0	3	0	4	0	0	0	0	71	276	0	0	9	141	0	7	5	0	0	0	80	0	0	0	0	0	4	0	0	2	0	0	0	0	42
HEB24097	206420	4764	1655	530	693	821	58689	4535	217	6358	4076	310	19338	193	97	48	293	96	231	1112	6123	651	129	1073	1130	247	156	1913	119	65	49	3009	3177	26	21	159927	26	280	29	1593	28	9	8	7	13	12	0	10	5	0	5	0	0	0	0	2	0	61	119	0	0	0	16	0	7	5	2	0	0	17	0	2	0	0	0	0	0	2	0	0	2	0	0	0
HEB24098	78387	14768	2285	592	890	1095	16885	740	681	120882	15532	426	70564	248	78	50	248	107	323	6818	5514	6033	113	6045	440	253	188	4591	134	33	278	19755	14134	43	32	157	0	847	61	3563	23	24	18	11	19	11	11	11	8	7	5	0	0	0	11	0	0	95	699	0	8	0	61	0	7	12	3	0	0	55	3	3	0	4	0	0	6	4	2	2	0	0	0	0
HEB24099	396176	18815	2319	631	1030	1096	194148	71341	599	7691	10251	363	54519	264	126	60	419	118	288	3762	9255	6181	150	4256	896	155	197	3645	187	113	1772	10557	8789	43	40	128	32	2034	83	5934	37	22	12	16	34	21	12	8	0	0	8	0	3	0	0	6	0	161	416	0	5	7	31	0	13	11	2	3	0	118	0	4	0	3	0	0	7	0	0	0	0	0	0	0
HEB24100	208024	4762	2216	663	888	991	44691	489	372	41114	16292	433	95196	255	84	52	374	126	356	6756	5899	3216	111	3762	2072	5127	206	5664	219	91	836	14928	6312	55	22	88	14	963	52	7019	42	15	16	9	23	10	15	11	10	7	9	0	4	0	0	0	5	130	326	0	7	0	20	0	0	9	0	0	7	18	2	9	0	0	3	0	0	5	5	0	0	0	0	0
HEB24139	277293	9393	1915	592	956	936	206027	1156	443	670	12127	360	52166	207	88	52	312	107	403	4337	3723	1785	100	6837	1914	111	140	3243	125	81	87	7369	2424	42	20	119	22	644	40	2340	27	16	15	12	11	11	7	4	6	5	8	10	3	0	0	0	5	69	513	0	2	3	76	0	11	0	2	0	8	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HEB24140	296528	158882	2224	683	1035	1376	214394	402	220	778	4558	406	13553	207	102	58	338	120	310	1075	3170	671	141	1338	1447	139	154	2699	124	80	66	3954	3634	30	34	55	36	268	66	2906	32	12	14	12	16	14	9	6	0	9	6	0	0	0	0	0	0	43	412	0	7	0	35	0	0	3	5	0	5	44	2	0	0	4	3	0	0	0	0	0	0	0	3	0
HEB24141	189051	13450	1946	583	829	964	64150	5276	294	10785	7448	377	37128	263	86	44	310	125	303	2922	7230	1168	138	1398	786	254	165	4708	143	53	69	9429	29046	42	19	71845	0	469	38	4128	31	22	11	6	24	13	9	9	6	0	6	0	3	0	11	0	5	124	291	0	9	0	18	2	7	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HEB24142	161424	27462	2374	609	1053	1163	157923	2756	500	88442	10268	389	33039	222	107	54	314	116	271	2702	4289	3042	114	2222	529	2701	182	3394	134	51	70	5571	9253	40	28	140	11	600	68	3570	30	16	13	18	28	11	12	11	5	9	0	9	0	0	9	0	0	50	534	10	6	5	18	4	13	9	3	0	0	103	0	5	0	3	0	0	6	0	3	0	0	0	0	0
HEB24143	147630	10364	1406	415	640	666	97418	15124	188	1097	7034	263	39817	170	74	45	239	68	168	3810	6552	3967	95	2002	174	93	129	2793	139	41	87	9428	2960	32	16	83	23	624	26	3121	25	17	13	10	9	9	3	0	0	0	0	0	0	0	0	0	0	89	184	0	0	3	35	0	6	8	4	0	6	30	0	6	3	0	0	0	0	0	0	0	0	0	0	0
HEB24144	158665	78313	1663	447	646	948	50918	314	230	14556	8546	288	43596	158	63	34	228	70	238	2012	4617	1119	100	1496	586	3646	171	2478	194	38	195	4818	1978	28	19	80	22	643	22	2449	24	14	5	9	16	7	9	8	2	0	10	0	0	0	0	0	0	92	193	5	8	0	0	0	6	5	0	0	0	21	0	0	0	3	0	0	0	0	0	0	0	0	3	0
HEB24175	444965	153917	4548	1309	1980	2415	339924	1808	860	1558	25093	831	86459	522	213	121	709	231	1482	12028	8396	4635	269	14753	4730	298	373	7882	265	131	373	20054	11748	86	72	319	30	2864	134	4714	68	34	22	27	62	29	20	22	5	19	0	16	0	9	0	2	5	205	1052	12	12	7	114	6	19	15	8	6	8	98	6	7	0	5	5	3	0	5	4	0	0	0	2	0
HEB24176	345455	233039	3813	1072	1409	2211	69440	815	588	1567	32270	689	105279	382	198	103	606	188	758	7164	18158	2781	217	7471	395	207	362	9111	350	143	139	27574	11649	59	39	149	37	1728	76	4415	63	39	30	21	37	28	13	15	5	7	15	0	6	0	6	10	0	224	926	0	5	4	387	0	12	11	3	0	0	105	0	0	6	5	0	5	8	0	2	0	0	6	0	0
HEB24177	290836	47973	5644	1590	2024	2585	38203	6938	1197	16895	27890	1062	382335	587	280	136	845	304	593	17554	16385	5638	267	5670	3047	374	538	15135	492	165	245	57218	2948	132	59	63432	47	786	83	8668	96	57	29	36	48	34	30	16	18	16	19	22	0	7	15	12	7	169	349	11	0	6	235	17	13	28	5	0	9	56	5	9	0	8	5	0	11	0	0	0	5	0	0	0
HEB24178	734172	18128	5834	1689	2334	2650	80233	3875	1690	7997	49993	1033	235863	675	340	220	1078	321	1274	18812	17697	17110	471	20394	11268	838	550	17965	409	289	770	31660	28425	129	72	816	76	11792	324	21300	109	57	37	56	58	40	28	17	12	22	16	16	18	4	14	15	12	230	2624	11	13	9	121	12	17	28	6	0	9	134	0	6	0	0	0	3	7	0	4	3	0	14	0	0
