feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	k__Bacteria.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	k__Bacteria.p__Firmicutes.c__Clostridia.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	k__Bacteria.p__Firmicutes.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	Unassigned.__.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	k__Bacteria.p__Bacteroidetes.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	k__Bacteria.p__Firmicutes.c__Bacilli.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales
HEB24106	0.357194208520029	0.0371112820169866	0.00597873336454223	0.0269210191934729	0.00322008961412426	0.000959673644084799	0.565540359794021	0.000529993981140908	0.000188925299271049	8.69390757707483e-05	0.000824249314518826	0.000419648231124189	4.68133484919414e-05	0.000110345750016719	0.000531665886444192	7.5235738647763e-05	2.34066742459707e-05	4.34695378853742e-05	2.6750484852538e-05	1.83909583361198e-05	0	0	0	0	0.000145455761385675	3.34381060656724e-06	0	0	0	0
HEB24122	0.299470448989596	0.104635667614827	0.00571992492114786	0.382380980024123	0.000759818623941382	0.000575346530183118	0.201795700381199	0.000461825241716493	0.000162541844849939	0.000108361229899959	0.00185117101079097	0.00031089352864155	5.54706295916459e-05	8.77209956333004e-05	0.00135709540303282	6.83707760083077e-05	2.70903074749898e-05	2.58002928333237e-05	2.06402342666589e-05	1.16101317749956e-05	6.45007320833091e-06	5.16005856666473e-06	0	1.29001464166618e-05	8.38509517083019e-05	2.58002928333237e-06	2.58002928333237e-06	0	0	0
HEB24133	0.348789627294547	0.276627852343557	0.00595291824921249	0.125744982722187	0.00140259271346142	0.000671207734164705	0.237140006989818	0.000386523074501744	0.000247652508812495	0.000120354490264016	0.000979037488109208	0.000131927037404787	5.55482262756997e-05	9.72093959824745e-05	0.00141416526060219	3.93466602786206e-05	2.77741131378499e-05	3.24031319941582e-05	3.0088622566004e-05	1.85160754252332e-05	0	9.25803771261662e-06	0	1.15725471407708e-05	6.48062639883164e-05	0	0	0	0	4.62901885630831e-06
HEB24134	0.456223427528874	0.0111713764436849	0.00479811113587769	0.307452262426629	0.00353501580933039	0.000427636195523854	0.211202747438723	0.000378103045463176	0.00015850608019417	7.9253040097085e-05	0.000797483715976918	0.000599351115734205	4.62309400566329e-05	5.77886750707911e-05	0.00289603817354765	4.45798350546103e-05	2.64176800323617e-05	2.97198900364069e-05	2.31154700283165e-05	1.6511050020226e-05	0	0	0	0	3.30221000404521e-05	3.30221000404521e-06	0	0	0	0
HEB24135	0.44839162534978	0.187101553338095	0.00658923026499012	0.0714850018282367	0.00139628024879175	0.000530472821793339	0.280591704541795	0.000486898268574601	0.000179981850251312	0.000125040022279859	0.00079381468689789	0.000151563663369525	6.82036485162865e-05	0.000106094564358668	0.00170698575869928	9.09381980217153e-05	3.22072784660242e-05	3.59963700502623e-05	2.46290952975479e-05	2.46290952975479e-05	0	0	0	0	5.87309195556911e-05	1.70509121290716e-05	0	0	0	1.13672747527144e-05
HEB24136	0.407024333576927	0.136007285710002	0.00532696517664217	0.253460949004765	0.00806699822750166	0.000973848152292805	0.185016943695162	0.000421422133974358	0.00017993304596658	8.68098028786131e-05	0.000850736068210408	0.000105750123506674	5.36642417795063e-05	7.41829224599057e-05	0.00204239790772591	5.36642417795063e-05	2.20970407327379e-05	4.41940814654757e-05	1.26268804187074e-05	1.10485203663689e-05	4.73508015701526e-06	0	9.47016031403052e-06	0	0.000138895684605781	6.31344020935368e-06	4.73508015701526e-06	0	0	0
HEB24137	0.296325572955872	0.118521965179805	0.0071303969775309	0.270874241643027	0.000891075056904844	0.000713219349982304	0.289723353532232	0.000485061018879653	0.00021737919734977	0.000102401770652371	0.0133535501975276	0.000282053999867057	6.10817579329933e-05	9.70122037759305e-05	0.000928802025039928	7.36574139780213e-05	3.9523490427231e-05	5.38956687644059e-05	2.15582675057623e-05	2.33547897979092e-05	5.38956687644059e-06	3.59304458429372e-06	7.18608916858745e-06	1.61687006293218e-05	4.85061018879653e-05	0	0	0	0	0
HEB24138	0.413034702641276	0.16191773184475	0.00524172725652474	0.157155848844489	0.000796693796908584	0.000574289792417851	0.258406033546445	0.000364072308721131	0.000166041345818424	8.07357002603345e-05	0.000796693796908584	9.29222210543473e-05	3.19896170842835e-05	7.61657549625798e-05	0.000999294705109046	3.65595623820383e-05	1.98030962902707e-05	1.98030962902707e-05	1.82797811910191e-05	1.5233150992516e-05	0	0	9.13989059550957e-06	0	0.000135575043833392	4.56994529775479e-06	0	0	0	6.09326039700638e-06
HEB24169	0.404641402018756	0.23342222728001	0.00566755061489555	0.219145540004522	0.00102644807041239	0.000792858137539549	0.131766434025069	0.00035787175613211	0.00016545953578493	0.000133266051446685	0.00113800223707282	0.000169951649878638	4.04290268433765e-05	8.83449105096004e-05	0.00115746806481222	5.31566834422172e-05	2.47066275153967e-05	4.79158836662239e-05	2.54553131976815e-05	2.17118847862577e-05	2.994742729139e-06	0	7.48685682284749e-06	0	8.60988534627462e-05	9.73291386970174e-06	5.98948545827799e-06	1.4973713645695e-06	0	0
HEB24170	0.238730199244809	0.260615742365547	0.0149606118098534	0.169205610285077	0.000943060933904858	0.000630685911738104	0.309026450967138	0.000517904431050819	0.000202561475181767	0.000115749414389581	0.000972740270927828	0.000599522607863986	4.22930552577317e-05	0.000119459331517453	0.00294493221610416	6.75204917272558e-05	3.48732210019893e-05	4.67449558111771e-05	2.67114033206726e-05	2.44854530439499e-05	7.4198342557424e-06	6.67785083016816e-06	7.4198342557424e-06	5.19388397901968e-06	0.000115749414389581	1.18717348091878e-05	1.33557016603363e-05	0	4.45190055344544e-06	0
HEB24171	0.390319811647093	0.216776338806592	0.00598310224491988	0.0972079184697607	0.00118164051913341	0.000763779318038694	0.284447186384821	0.000435600591707229	0.000180350471227201	0.000102494256872289	0.000756880666133828	0.000129103342791057	4.23774331298888e-05	0.000100523213470899	0.00127230851559736	6.20878671437906e-05	2.46380425173772e-05	3.3507737823633e-05	3.15366944222428e-05	1.57683472111214e-05	6.89865190486562e-06	0	7.88417360556071e-06	0	8.57403879604727e-05	8.8696953062558e-06	2.36525208166821e-05	0	0	0
HEB24172	0.107633222655805	0.189254164734892	0.00798156664420787	0.0565601600574867	0.00144377966085506	0.00285596516119267	0.624515158216943	0.000658334135433145	0.000231445594488215	0.000126376642069756	0.00311092268908921	0.000240997317435348	6.46578168728982e-05	0.000134458869178868	0.00481847685286893	8.81697502812248e-05	3.30636563554593e-05	6.46578168728982e-05	3.60026480315001e-05	2.71856730033776e-05	9.55172294713268e-06	6.61273127109186e-06	1.10212187851531e-05	1.02864708661429e-05	7.127054814399e-05	5.14323543307144e-06	0	0	7.34747919010206e-06	0
HEB24173	0.370064425183838	0.19774903426154	0.00609090487735881	0.260125270302883	0.000854260996312853	0.000532214989283779	0.158604861536199	0.000429927423775786	0.000164619050739427	0.00013984628096796	0.0033834808778191	0.000155029591473053	4.47508099097472e-05	8.87024982139632e-05	0.0013217471355486	5.75367555982464e-05	3.27639858267792e-05	3.67595938544352e-05	2.31745265604048e-05	1.35850672940304e-05	7.1920944497808e-06	0	8.7903376608432e-06	1.35850672940304e-05	4.7947296331872e-05	9.5894592663744e-06	0	0	0	0
HEB24174	0.223187027926547	0.53411596380823	0.00578505619378371	0.0263191054864361	0.000751383926517719	0.000443363186454555	0.205732519322968	0.000330688933054826	0.000152010235355847	9.00060604080675e-05	0.000744050099373358	0.000140676138860017	3.73358472803835e-05	7.73385407950802e-05	0.00188079330674932	4.93366553347925e-05	2.13347698745049e-05	2.93353085774442e-05	1.86679236401918e-05	1.86679236401918e-05	3.33355779289139e-06	0	3.33355779289139e-06	6.0004040272045e-06	5.93373287134667e-05	3.33355779289139e-06	0	0	0	0
